Open time,Open,High,Low,Close,Volume,Close time,Number of trades
1509608700000,0.00002246,0.00002246,0.00002246,0.00002246,100.00000000,1509609599999,1,
1509609600000,0.00002800,0.00002802,0.00002800,0.00002800,6832.00000000,1509610499999,6,
1509610500000,0.00002700,0.00002700,0.00002501,0.00002501,3936.00000000,1509611399999,6,
1509611400000,0.00002588,0.00002678,0.00002588,0.00002614,7125.00000000,1509612299999,5,
1509612300000,0.00002615,0.00002621,0.00002614,0.00002617,19318.00000000,1509613199999,13,
1509613200000,0.00002627,0.00002643,0.00002625,0.00002627,109218.00000000,1509614099999,38,
1509614100000,0.00002627,0.00002642,0.00002603,0.00002639,134825.00000000,1509614999999,73,
1509615000000,0.00002639,0.00002655,0.00002616,0.00002618,74432.00000000,1509615899999,71,
1509615900000,0.00002652,0.00002654,0.00002617,0.00002625,39187.00000000,1509616799999,42,
1509616800000,0.00002618,0.00002625,0.00002574,0.00002594,147005.00000000,1509617699999,53,
1509617700000,0.00002595,0.00002595,0.00002517,0.00002589,178568.00000000,1509618599999,63,
1509618600000,0.00002589,0.00002589,0.00002505,0.00002509,7449.00000000,1509619499999,19,
1509619500000,0.00002503,0.00002540,0.00002400,0.00002495,64177.00000000,1509620399999,54,
1509620400000,0.00002471,0.00002496,0.00002440,0.00002459,93833.00000000,1509621299999,52,
1509621300000,0.00002441,0.00002595,0.00002441,0.00002587,52589.00000000,1509622199999,66,
1509622200000,0.00002593,0.00002905,0.00002587,0.00002800,119963.00000000,1509623099999,81,
1509623100000,0.00002798,0.00002802,0.00002704,0.00002725,26366.00000000,1509623999999,67,
1509624000000,0.00002764,0.00002809,0.00002726,0.00002735,17915.00000000,1509624899999,71,
1509624900000,0.00002808,0.00002884,0.00002772,0.00002774,7978.00000000,1509625799999,29,
1509625800000,0.00002818,0.00002818,0.00002729,0.00002729,12684.00000000,1509626699999,36,
1509626700000,0.00002745,0.00002746,0.00002635,0.00002652,98489.00000000,1509627599999,25,
1509627600000,0.00002656,0.00002749,0.00002616,0.00002650,197200.00000000,1509628499999,39,
1509628500000,0.00002652,0.00002655,0.00002650,0.00002651,186039.00000000,1509629399999,50,
1509629400000,0.00002651,0.00002651,0.00002545,0.00002553,88676.00000000,1509630299999,44,
1509630300000,0.00002559,0.00002673,0.00002500,0.00002600,50751.00000000,1509631199999,38,
1509631200000,0.00002610,0.00002678,0.00002500,0.00002673,101240.00000000,1509632099999,80,
1509632100000,0.00002672,0.00002677,0.00002671,0.00002672,87603.00000000,1509632999999,64,
1509633000000,0.00002672,0.00002674,0.00002671,0.00002673,71942.00000000,1509633899999,51,
1509633900000,0.00002672,0.00002732,0.00002672,0.00002692,85394.00000000,1509634799999,68,
1509634800000,0.00002692,0.00002732,0.00002671,0.00002673,107660.00000000,1509635699999,43,
1509635700000,0.00002673,0.00002713,0.00002668,0.00002668,61955.00000000,1509636599999,26,
1509636600000,0.00002708,0.00002708,0.00002697,0.00002703,3040.00000000,1509637499999,8,
1509637500000,0.00002699,0.00002707,0.00002594,0.00002700,78829.00000000,1509638399999,55,
1509638400000,0.00002678,0.00002699,0.00002678,0.00002684,159049.00000000,1509639299999,59,
1509639300000,0.00002685,0.00002685,0.00002677,0.00002684,164006.00000000,1509640199999,65,
1509640200000,0.00002679,0.00002684,0.00002677,0.00002684,82521.00000000,1509641099999,79,
1509641100000,0.00002684,0.00002684,0.00002678,0.00002679,134690.00000000,1509641999999,86,
1509642000000,0.00002683,0.00002684,0.00002679,0.00002683,152383.00000000,1509642899999,80,
